candidateId,exerciseId,errors,warnings,diagnosticCodes
"cand-53c8e03c-de04-533b-aa33-a133ae18a9dd","ex-1e32ff00-4689-5ff3-a610-1f348346648b","0","0","[]"
"cand-0834eb47-5cbe-5cc2-a38b-43fa5336fc4b","ex-648b9969-ec05-5642-834e-5e66da422ed6","0","0","[]"
"cand-ce379376-8909-5393-994e-bc721c4cd784","ex-d85cfaee-eb0f-592e-9c9e-978034137eb1","0","0","[]"
"cand-9bd11696-9fd7-5942-a685-376805f58cb2","ex-62919eab-90de-5936-8803-e3edc40e88b0","0","0","[]"
"cand-f795fe4c-e0df-5f95-b848-6e3a8a4720df","ex-3b3283a6-dec1-5f2d-9092-e64e3e4ef42e","0","0","[]"
"cand-37ff5006-dbb7-5504-a496-e61cd8044c2e","ex-539f9377-877e-5dc8-bc38-d15db7a78499","0","0","[]"
"cand-6faffc80-c116-5fd7-8b17-16f1264b4074","ex-45503716-9b61-5500-8035-2beda0138495","0","0","[]"
"cand-891dc52c-dc4a-5179-af67-ce31370d6c69","ex-5022aebf-c986-5139-8a35-874284ce50e2","0","0","[]"
"cand-9721f2e5-2cd2-5756-84e7-9a3ad1edd558","ex-11dad0a3-2ad0-50af-963b-68c703c598a7","0","0","[]"
"cand-5719248e-2ab0-57e2-83a1-3e37d644cda9","ex-ace35a7c-2631-5036-89f4-546070e08bec","0","0","[]"
"cand-9d2007da-481b-54e1-9bfc-d0606b7ce6c6","ex-869bf4ab-563d-54e2-b7cd-abfa71496bbf","0","0","[]"
"cand-e6209222-2419-5efb-8253-794a4c7a7dd4","ex-2a6970cf-70ac-5dd5-8859-82de3d8cccc7","0","0","[]"
"cand-df1e8da1-233c-5f88-9928-41b11dbb557e","ex-afccb647-a42a-5c52-88f5-b27858acdcb4","0","0","[]"
"cand-c0f78f9e-3af6-5759-93c4-8676f62ce3be","ex-e44cead7-9e85-54fc-9548-6f8bd9259ea8","0","0","[]"
"cand-4cb87666-9fd2-569b-98b8-a94f9b80899f","ex-834afdcf-c5f2-5f5b-8a0c-826e7942030c","0","0","[]"
"cand-ec3f876b-dbe8-592d-b705-0bdfc787aafb","ex-ebe38459-ea4d-5c63-9992-d458ffa617d1","0","0","[]"
"cand-e3ce8eb5-ba86-534e-917f-0f9428f88d96","ex-462db749-1ef4-5f50-9d81-3f66a9a7224b","0","0","[]"
"cand-184c94b8-5f62-5a0c-a473-524af8ed72c6","ex-d99b46a4-c822-53ca-ba2f-a10d5a6a51ab","0","0","[]"
"cand-8a17dd9e-5bd3-5c14-8ad6-c30c1db6742b","ex-de914aef-20be-5a43-b023-4ea326681914","0","0","[]"
"cand-b370e634-263c-518e-a7a1-42ec9876a4a3","ex-93c2976c-47b5-5138-9df0-efed08be9add","0","0","[]"
"cand-1cab7bab-4d88-5ca0-85c4-54962588f406","ex-92f07c07-d42d-5eb8-a683-cf3484f6269c","0","0","[]"
"cand-7a74733b-579e-53c1-8eb4-57f0a83c796a","ex-6a8580bb-8a65-5f22-a624-df04ac932020","0","0","[]"
"cand-24be4e4f-9f06-5523-9224-21fdc54696e7","ex-7db8dfcb-0455-5afc-8273-8e50d8684a67","0","0","[]"
"cand-bc2d66a4-0d66-5de6-8bda-aa2d1c41df39","ex-0ef48f43-eda2-5105-a560-328a0578d1e8","0","0","[]"
"cand-5c3e3996-840f-5ceb-937f-7825db9f26a2","ex-a1da72f0-7a7d-5e1c-b502-c2ede7dcac1d","0","0","[]"
"cand-e51afab1-140f-5fa9-a53f-466a63d68868","ex-d134c3d4-7312-5290-aadb-94ad9e011283","0","0","[]"
"cand-ea0f3dbe-05cd-540a-be9d-75a8bfe1c7d5","ex-678f2c2c-8586-5325-bfbc-605e79026f12","0","0","[]"
"cand-d5bc9b97-e115-5f87-833c-c229bdb73edb","ex-07cb448f-0c6b-5bad-8d7e-2b39481c8116","0","0","[]"
"cand-f1b69fc3-ac35-511b-8745-cdf2a9a23606","ex-a3c20744-d902-5fe1-b226-d1b66b413f89","0","0","[]"
"cand-e0373cad-4e64-59c3-8187-87254f8f1ff4","ex-d1763ec9-a997-520a-ba4c-2a9b266d232e","0","0","[]"
"cand-63cfb5ce-7440-5166-813a-a51a080f5fd3","ex-e70d3050-6185-5a7c-9a57-1691a7552813","0","0","[]"
"cand-9d1d77e5-e25b-560c-a553-d8640515c55a","ex-3532cdc0-22a2-5d8b-b18e-5c5e059720f9","0","0","[]"
"cand-9fc0dfab-2dd4-51e0-9805-e444bffd46de","ex-8c2b7367-c5ca-5c2e-b574-659d6c96e590","0","0","[]"
"cand-c5608aed-001d-59e5-80a4-7ab36fc0f2fc","ex-47a72aac-dec1-58ee-bb6a-4d8e89531e96","0","0","[]"
"cand-248b513d-4208-52b6-bbc0-5d4c2dc5baa6","ex-d9e824a5-a851-5b7b-a135-ff7cf92bab6d","0","0","[]"
"cand-089cc8ea-359b-5498-8b2d-1b90e00da6c2","ex-3e52235d-26d0-5a3b-86b9-ae5ac65792b8","0","0","[]"
"cand-b69d1c10-26b0-5de2-bbe3-9965b6890a50","ex-2594b448-9c3f-5e4a-abc6-5b9ac9255f61","0","0","[]"
"cand-789c19f5-5357-5f28-a80a-8d614046836c","ex-af6ceed5-b87b-58f9-8dd2-1eaf411a5acf","0","0","[]"
"cand-ae53c0dc-e75d-5132-8d8f-b6a5bf9aad14","ex-555ef78a-fc62-5a2c-bb2b-9920ff321396","0","0","[]"
"cand-350eafe2-c2c3-5c57-92b0-d7db160ff559","ex-bc4384f0-eb88-52d6-90ff-55fdbfabbc11","0","0","[]"
"cand-c319edd3-05cf-5de5-aa6c-a3f1748bad51","ex-8b5fd097-57bc-5d27-bdf7-0c2cd64cc900","0","0","[]"
"cand-e4205365-73ae-5ddd-b4a7-56af2d1bb6a6","ex-27d411e4-6726-543f-9a05-efd17116fbca","0","0","[]"
"cand-f27eb277-1a83-5e87-a228-fdac2a8436e5","ex-3855dbe5-8b5d-53bb-9143-0840fdb03fdb","0","0","[]"
"cand-ec8a24ad-8374-58d2-a10b-8f6d895355d5","ex-dc014dd5-8b42-5457-9cf6-231c6f7c6673","0","0","[]"
"cand-cf1aaadd-c1ef-5512-9e4c-72d50120399d","ex-5119e732-5c54-5e9c-8f6a-5a0fa76d24f0","0","0","[]"
"cand-67228b57-f7fd-507b-9b66-efcf5804452f","ex-2d6456e8-ffaf-5487-aa42-adb405a033ff","0","0","[]"
"cand-10397590-ae63-50b4-b03f-442375c22c2d","ex-ebda727c-9614-50af-b55d-e5bc062815a5","0","0","[]"
"cand-54d81bd0-646c-5cf9-9ab6-d326c699b141","ex-82f36fa8-37da-59e6-8ed5-63301ba6599f","0","0","[]"
"cand-2b12b590-6817-5092-a397-f5dda76cc244","ex-13a65a04-4d6b-5e76-91a0-04f497b57d07","0","0","[]"
"cand-7b9b2491-8ff2-5282-b6c8-6cf28b62ad4c","ex-bf76d9f3-c999-5414-86ca-d4a242aa1769","0","0","[]"
"cand-b0eb0068-1ebc-5f70-be4c-bee4c9a496b1","ex-2e205e28-346d-5532-9f06-f1d885cd87fe","0","0","[]"
